param_id,member_index_number,param_name,derived_value,derivation_note
1,22032277,hash_table_size,567,"sum_of_digits(20241123456)*17 + last_3_digits, mod 500, floor 101, forced odd = 567"
2,22181957,priority_weight,1,(sum_of_digits(20241123456) mod 5) + 1 = 1
3,22045257,route_penalty,0.15,((sum_of_digits(20241123456) mod 10) + 1) * 0.15 = 0.15
4,22032277,hash_table_size,263,"sum_of_digits(20241134567)*17 + last_3_digits, mod 500, floor 101, forced odd = 263"
5,22181957,priority_weight,1,(sum_of_digits(20241134567) mod 5) + 1 = 1
6,22045257,route_penalty,0.9,((sum_of_digits(20241134567) mod 10) + 1) * 0.15 = 0.9
7,22032277,hash_table_size,443,"sum_of_digits(20231145678)*17 + last_3_digits, mod 500, floor 101, forced odd = 443"
8,22181957,priority_weight,5,(sum_of_digits(20231145678) mod 5) + 1 = 5
9,22045257,route_penalty,1.5,((sum_of_digits(20231145678) mod 10) + 1) * 0.15 = 1.5
10,22032277,hash_table_size,121,"sum_of_digits(20221156789)*17 + last_3_digits, mod 500, floor 101, forced odd = 121"
11,22181957,priority_weight,4,(sum_of_digits(20221156789) mod 5) + 1 = 4
12,22045257,route_penalty,0.6,((sum_of_digits(20221156789) mod 10) + 1) * 0.15 = 0.6
