book_id,isbn,title,author,category,shelf_location_id,total_copies,available_copies
1,9780435905255,Things Fall Apart,Chinua Achebe,Ghanaian Collection (Africana),9,2,0
2,9780435905910,The Beautyful Ones Are Not Yet Born,Ayi Kwei Armah,Ghanaian Collection (Africana),9,2,2
3,,Fragments,Ayi Kwei Armah,Ghanaian Collection (Africana),9,1,0
4,9780435905040,The Healers,Ayi Kwei Armah,Ghanaian Collection (Africana),9,5,4
5,9780435900615,Efuru,Flora Nwapa,Literature & Languages,29,1,1
6,9780704342134,Changes: A Love Story,Ama Ata Aidoo,Literature & Languages,29,3,0
7,,No Sweetness Here,Ama Ata Aidoo,Literature & Languages,29,3,1
8,9780582642083,Our Sister Killjoy,Ama Ata Aidoo,Literature & Languages,29,1,0
9,9789964302097,The Dilemma of a Ghost,Ama Ata Aidoo,Literature & Languages,29,2,1
10,9780582642090,Anowa,Ama Ata Aidoo,Literature & Languages,29,1,0
11,9780435905699,I Will Marry When I Want,Ngugi wa Thiong'o,Literature & Languages,29,1,1
12,9780435905435,The River Between,Ngugi wa Thiong'o,Literature & Languages,29,1,0
13,,Chike and the River,Chinua Achebe,Ghanaian Collection (Africana),9,1,0
14,9780435900943,Kinsman and Foreman,Kofi Awoonor,African Studies,28,3,3
15,,"This Earth, My Brother",Kofi Awoonor,African Studies,28,1,0
16,9780821419372,Ghana: A Political History from Pre-European to Modern Times,David Owusu-Ansah,History,41,1,0
17,9780901787968,The Autobiography of Kwame Nkrumah,Kwame Nkrumah,History,41,2,1
18,9780717801397,Neo-Colonialism: The Last Stage of Imperialism,Kwame Nkrumah,Political Science & Governance,40,1,0
19,,Africa Must Unite,Kwame Nkrumah,Political Science & Governance,40,3,2
20,9780714630302,Politics in Ghana 1946-1960,David Apter,Political Science & Governance,40,3,1
21,9789964302448,Introduction to Company Law in Ghana,Kwame Frimpong,Law,16,1,0
22,,The Ghana Law Reports 2018,Ghana Law Reports Editorial Board,Ghana Law Reports Reserve,45,2,0
23,9789988159012,Land Law in Ghana,Kwame Gyan,Law,16,3,0
24,9789988552028,Family Law in Ghana,Henrietta Mensa-Bonsu,Law,16,3,0
25,9789988862363,Constitutional Law of Ghana,S.Y. Bimpong-Buta,Law,16,3,1
26,9780133799101,Introduction to Data Structures and Algorithms,Robert Sedgewick,Computer Science & IT,14,2,2
27,9780262033848,Introduction to Algorithms,Thomas H. Cormen,Computer Science & IT,14,3,3
28,9780321523068,Database Systems: A Practical Approach,Thomas Connolly,Computer Science & IT,14,5,2
29,9781260440225,Java Programming: A Beginner's Guide,Herbert Schildt,Computer Science & IT,14,2,2
