resource_id,type,home_location_id,capacity,availability_status
1,STAFF,42,1,AVAILABLE
2,STAFF,9,1,AVAILABLE
3,STAFF,2,1,OFFLINE
4,STAFF,27,1,BUSY
5,STAFF,42,1,AVAILABLE
6,STAFF,6,1,AVAILABLE
7,STAFF,9,1,OFFLINE
8,STAFF,20,1,OFFLINE
9,STAFF,8,1,AVAILABLE
10,STAFF,28,1,AVAILABLE
11,STAFF,15,1,BUSY
12,STAFF,7,1,AVAILABLE
13,STAFF,16,1,AVAILABLE
14,STAFF,26,1,AVAILABLE
15,STAFF,16,1,AVAILABLE
16,STAFF,22,1,AVAILABLE
17,CART,28,25,AVAILABLE
18,CART,45,20,BUSY
19,CART,6,15,AVAILABLE
20,CART,7,10,AVAILABLE
21,CART,10,25,BUSY
22,CART,19,20,AVAILABLE
23,CART,6,15,AVAILABLE
24,CART,19,10,BUSY
25,CART,13,25,BUSY
26,KIOSK,26,1,AVAILABLE
27,KIOSK,2,1,OFFLINE
28,KIOSK,49,1,AVAILABLE
29,KIOSK,3,1,OFFLINE
30,KIOSK,13,1,AVAILABLE
