road_id,from_location_id,to_location_id,distance,travel_time,road_condition_weight
1,15,3,44.1,37.8,0.86
2,13,15,25.2,20.9,1.28
3,41,13,16.1,11.5,1.12
4,9,15,12.4,11.6,1.09
5,37,3,12.6,9.3,1.46
6,23,15,25.6,20.3,1.86
7,29,23,20.1,21.2,1.13
8,25,15,5.5,4.4,1.49
9,14,29,8.9,9.0,2.1
10,2,15,5.1,3.6,1.22
11,16,13,20.1,17.6,1.23
12,40,23,14.1,10.9,1.74
13,39,2,33.2,34.0,2.17
14,26,3,34.4,37.0,1.09
15,45,3,43.4,46.2,0.89
16,24,40,8.0,5.9,1.88
17,43,24,16.3,15.8,1.13
18,6,14,22.2,16.3,3.05
19,32,41,6.1,6.1,0.93
20,5,16,15.0,13.4,1.64
21,7,3,31.1,26.4,1.27
22,20,41,40.4,31.8,0.88
23,31,23,31.9,24.0,1.05
24,27,13,29.6,22.5,0.82
25,10,37,34.1,29.0,1.01
26,21,43,4.5,4.1,1.08
27,38,10,43.8,47.6,0.98
28,4,27,26.5,19.8,1.29
29,36,38,9.8,7.5,0.89
30,34,10,42.1,32.4,1.23
31,12,40,39.6,29.8,0.91
32,33,26,12.4,10.1,1.0
33,17,20,29.9,27.2,1.29
34,49,24,10.5,7.6,0.93
35,30,38,28.5,24.7,1.86
36,11,3,24.8,19.0,1.14
37,28,31,21.1,15.4,1.26
38,19,32,24.3,19.7,0.96
39,46,21,30.9,28.4,1.54
40,22,30,38.0,36.1,0.91
41,42,36,21.6,17.5,1.06
42,18,37,14.9,12.1,1.11
43,35,32,12.4,12.4,0.81
44,48,36,20.4,16.8,0.9
45,8,14,30.6,33.9,2.02
46,47,26,10.4,7.5,1.06
47,44,36,8.6,7.6,1.85
48,1,46,37.2,27.6,1.01
49,44,34,21.9,17.2,1.62
50,22,45,14.5,15.4,1.62
51,37,25,9.3,8.5,0.88
52,49,36,20.5,20.4,1.01
53,1,11,19.0,21.0,2.0
54,49,44,33.9,26.1,1.79
55,15,27,17.1,13.8,1.0
56,46,49,4.1,3.7,1.08
57,36,16,5.1,4.7,1.66
58,43,1,43.0,38.7,1.22
59,20,26,30.3,23.5,1.13
60,15,46,9.4,9.8,1.13
61,31,2,28.4,20.6,1.16
62,23,28,4.1,3.9,1.14
63,9,28,32.0,26.4,3.32
64,29,11,35.9,33.4,1.01
65,3,21,37.5,39.4,1.28
66,38,16,33.8,24.4,2.05
67,47,28,14.3,10.8,1.22
68,1,36,26.9,21.8,1.8
69,39,20,36.5,34.1,1.24
70,17,40,6.6,5.2,2.01
71,4,15,6.9,6.8,1.64
72,30,17,17.4,12.4,1.08
73,24,26,8.1,8.1,0.86
74,40,39,34.0,32.7,1.09
75,40,6,12.6,12.7,0.81
76,30,6,32.3,33.5,3.35
77,6,34,23.1,21.6,1.28
78,9,10,23.7,19.9,1.14
79,37,45,8.0,6.2,2.03
80,4,32,39.1,28.0,0.95
81,1,39,29.3,28.4,0.84
82,4,48,27.9,26.7,1.97
83,9,35,12.8,12.4,1.2
84,38,29,25.9,21.2,1.25
85,44,11,41.7,37.2,1.03
86,33,49,23.7,25.2,0.82
87,15,37,12.6,10.2,1.23
88,11,13,35.1,35.5,2.63
89,38,22,37.2,26.9,1.04
90,2,7,20.3,17.7,1.13
91,36,37,16.2,15.3,1.29
92,18,49,22.4,24.2,1.9
93,1,41,11.5,9.8,1.26
94,15,22,28.6,28.0,0.88
95,26,29,22.4,23.4,1.8
96,8,43,20.5,18.0,1.04
97,19,33,34.3,35.4,0.83
98,33,43,37.5,36.0,1.87
99,14,4,25.6,23.9,1.08
100,40,48,13.0,11.9,1.73
101,8,27,19.2,15.6,1.21
102,25,33,43.5,40.8,2.08
103,3,47,9.1,6.8,1.28
104,7,46,32.1,26.2,2.08
105,5,22,33.2,25.9,1.24
106,26,44,6.8,4.9,1.18
107,48,32,40.9,44.3,1.2
108,45,17,20.3,16.4,1.54
109,46,35,13.1,9.7,0.87
110,18,3,40.8,36.0,0.94
111,28,32,29.8,26.8,2.08
112,34,23,13.0,11.0,2.19
113,43,3,26.8,21.6,1.44
